Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
4,Mon,2022-08-29,19:00,Vitória,1.1,0–1,0.7,Casa Pia,14231,Estádio Dom Afonso Henriques,Hélder Malheiro,Match Report,
4,Mon,2022-08-29,21:15,Vizela,1.4,2–2,1.4,Gil Vicente FC,2824,Estádio Do Vizela,Manuel Oliveira,Match Report,
,,,,,,,,,,,,,
3,Tue,2022-08-30,20:15,Benfica,3.4,3–2,0.7,Paços,55151,Estádio do Sport Lisboa e Benfica,Artur Soares Dias,Match Report,
,,,,,,,,,,,,,
5,Fri,2022-09-02,19:00,Benfica,2.4,2–1,0.6,Vizela,47958,Estádio do Sport Lisboa e Benfica,Fábio Veríssimo,Match Report,
5,Fri,2022-09-02,21:15,Estoril,0.8,0–2,1.8,Sporting CP,4718,Estádio António Coimbra da Mota,Manuel Oliveira,Match Report,
5,Sat,2022-09-03,15:30,Braga,2.2,1–0,0.7,Vitória,21736,Estádio Municipal de Braga,Nuno Almeida,Match Report,
5,Sat,2022-09-03,20:30,Gil Vicente FC,0.7,0–2,2.3,Porto,8458,Estádio Cidade de Barcelos,João Pinheiro,Match Report,
5,Sun,2022-09-04,15:30,Casa Pia,0.3,0–0,0.2,Arouca,1022,Estádio Nacional,Carlos Macedo,Match Report,
5,Sun,2022-09-04,17:00 (18:00),Santa Clara,1.6,2–1,1.6,Marítimo,1012,Estádio de São Miguel,Gustavo Correia,Match Report,
5,Sun,2022-09-04,20:30,Portimonense,0.7,1–0,0.7,Famalicão,1840,Estádio do Portimonense SC,Artur Soares Dias,Match Report,
5,Mon,2022-09-05,19:00,Boavista,1.0,1–0,0.8,Paços,4831,Estádio do Bessa Século XXI,Cláudio Ruivo Pereira,Match Report,
5,Mon,2022-09-05,21:15,Chaves,2.4,1–1,0.9,Rio Ave,2987,Estádio Municipal Eng. Manuel Branco Tei...,Hélder Malheiro,Match Report,
,,,,,,,,,,,,,
6,Fri,2022-09-09,20:15,Vitória,0.9,1–0,0.7,Santa Clara,12132,Estádio Dom Afonso Henriques,João Pinheiro,Match Report,
6,Sat,2022-09-10,15:30,Famalicão,0.3,0–1,1.4,Benfica,4867,Estádio Municipal 22 de Junho,Nuno Almeida,Match Report,
6,Sat,2022-09-10,18:00,Sporting CP,1.2,4–0,0.4,Portimonense,29782,Estádio José Alvalade,Cláudio Ruivo Pereira,Match Report,
6,Sat,2022-09-10,20:30,Porto,2.8,3–0,0.5,Chaves,44109,Estádio Do Dragão,António Nobre,Match Report,
6,Sun,2022-09-11,15:30,Paços,1.6,2–3,1.4,Casa Pia,4112,Estádio da Capital do Móvel,Tiago Martins,Match Report,
6,Sun,2022-09-11,18:00,Marítimo,1.5,1–2,2.3,Gil Vicente FC,5032,Estádio dos Barreiros,Miguel Nogueira,Match Report,
6,Sun,2022-09-11,18:00,Arouca,0.8,1–2,1.5,Boavista,1395,Estádio Municipal de Arouca,João António Gonçalves,Match Report,
6,Sun,2022-09-11,20:30,Rio Ave,1.0,2–3,2.8,Braga,3071,Estádio do Rio Ave Futebol Clube,Luís Godinho,Match Report,
6,Mon,2022-09-12,20:15,Vizela,3.1,0–1,0.4,Estoril,2335,Estádio Do Vizela,Manuel Mota,Match Report,
,,,,,,,,,,,,,
7,Fri,2022-09-16,20:15,Portimonense,1.9,1–0,1.1,Chaves,1411,Estádio do Portimonense SC,Manuel Oliveira,Match Report,
7,Sat,2022-09-17,14:30 (15:30),Santa Clara,1.0,1–1,0.5,Paços,2123,Estádio de São Miguel,Rui Costa,Match Report,
7,Sat,2022-09-17,15:30,Gil Vicente FC,1.9,2–2,0.6,Rio Ave,2856,Estádio Cidade de Barcelos,João António Gonçalves,Match Report,
7,Sat,2022-09-17,18:00,Estoril,0.7,1–1,1.6,Porto,4430,Estádio António Coimbra da Mota,Luís Godinho,Match Report,
7,Sat,2022-09-17,20:30,Boavista,1.5,2–1,0.9,Sporting CP,8847,Estádio do Bessa Século XXI,João Pinheiro,Match Report,
7,Sun,2022-09-18,15:30,Arouca,0.8,2–2,1.4,Vitória,2376,Estádio Municipal de Arouca,Fábio Veríssimo,Match Report,
7,Sun,2022-09-18,18:00,Casa Pia,0.8,1–0,0.5,Famalicão,917,Estádio Nacional,Miguel Nogueira,Match Report,
7,Sun,2022-09-18,18:00,Benfica,3.5,5–0,0.2,Marítimo,56889,Estádio do Sport Lisboa e Benfica,António Nobre,Match Report,
7,Sun,2022-09-18,20:30,Braga,1.8,2–0,0.8,Vizela,14181,Estádio Municipal de Braga,André Narciso,Match Report,
,,,,,,,,,,,,,
8,Fri,2022-09-30,19:00,Sporting CP,2.6,3–1,1.5,Gil Vicente FC,27829,Estádio José Alvalade,Tiago Martins,Match Report,
8,Fri,2022-09-30,21:15,Porto,4.3,4–1,0.4,Braga,44830,Estádio Do Dragão,Artur Soares Dias,Match Report,
8,Sat,2022-10-01,15:30,Vizela,0.9,1–0,1.2,Portimonense,2435,Estádio Do Vizela,António Nobre,Match Report,
8,Sat,2022-10-01,18:00,Chaves,0.7,1–1,1.6,Estoril,3345,Estádio Municipal Eng. Manuel Branco Tei...,Fábio Veríssimo,Match Report,
8,Sat,2022-10-01,20:30,Vitória,0.3,0–0,0.5,Benfica,19231,Estádio Dom Afonso Henriques,Rui Costa,Match Report,
8,Sun,2022-10-02,15:30,Rio Ave,0.3,1–0,0.3,Santa Clara,1984,Estádio do Rio Ave Futebol Clube,Cláudio Ruivo Pereira,Match Report,
8,Sun,2022-10-02,18:00,Paços,0.4,1–1,1.1,Arouca,4431,Estádio da Capital do Móvel,Hélder Malheiro,Match Report,
8,Sun,2022-10-02,20:30,Famalicão,1.0,4–0,0.4,Boavista,3783,Estádio Municipal 22 de Junho,Gustavo Correia,Match Report,
8,Mon,2022-10-03,20:15,Marítimo,2.2,1–2,2.5,Casa Pia,4484,Estádio dos Barreiros,Vitor Ferreira Fernandes,Match Report,
,,,,,,,,,,,,,
9,Fri,2022-10-07,20:15,Gil Vicente FC,1.1,0–1,1.0,Estoril,2516,Estádio Cidade de Barcelos,Hélder Carvalho,Match Report,
9,Sat,2022-10-08,14:30 (15:30),Santa Clara,0.8,1–2,1.4,Sporting CP,4500,Estádio de São Miguel,Artur Soares Dias,Match Report,
9,Sat,2022-10-08,18:00,Benfica,3.8,4–2,0.8,Rio Ave,56176,Estádio do Sport Lisboa e Benfica,Manuel Oliveira,Match Report,
9,Sat,2022-10-08,18:00,Portimonense,1.3,0–2,1.1,Porto,3960,Estádio do Portimonense SC,Manuel Mota,Match Report,
9,Sat,2022-10-08,20:30,Paços,2.3,0–1,0.5,Vitória,5346,Estádio da Capital do Móvel,Nuno Almeida,Match Report,
9,Sun,2022-10-09,15:30,Boavista,1.5,1–1,1.8,Marítimo,11295,Estádio do Bessa Século XXI,Luís Godinho,Match Report,
9,Sun,2022-10-09,18:00,Casa Pia,0.7,0–1,0.5,Vizela,2912,Estádio Nacional,João Pinheiro,Match Report,
9,Sun,2022-10-09,20:30,Braga,1.7,0–1,0.3,Chaves,12494,Estádio Municipal de Braga,Cláudio Ruivo Pereira,Match Report,
9,Mon,2022-10-10,20:15,Arouca,1.2,4–1,0.9,Famalicão,1018,Estádio Municipal de Arouca,André Narciso,Match Report,
,,,,,,,,,,,,,
10,Fri,2022-10-21,20:15,Porto,0.9,0–1,1.9,Benfica,49499,Estádio Do Dragão,João Pinheiro,Match Report,
10,Sat,2022-10-22,15:30,Famalicão,0.6,2–1,0.8,Paços,2380,Estádio Municipal 22 de Junho,Miguel Nogueira,Match Report,
10,Sat,2022-10-22,18:00,Estoril,0.2,0–2,0.9,Braga,2674,Estádio António Coimbra da Mota,André Narciso,Match Report,
10,Sat,2022-10-22,20:30,Sporting CP,3.4,3–1,0.7,Casa Pia,26679,Estádio José Alvalade,Hélder Malheiro,Match Report,
10,Sun,2022-10-23,15:30,Marítimo,0.8,1–1,1.5,Arouca,9072,Estádio dos Barreiros,Manuel Oliveira,Match Report,
10,Sun,2022-10-23,15:30,Vizela,1.0,0–1,0.6,Santa Clara,2007,Estádio Do Vizela,Gustavo Correia,Match Report,
10,Sun,2022-10-23,18:00,Chaves,2.4,3–1,0.7,Gil Vicente FC,2794,Estádio Municipal Eng. Manuel Branco Tei...,Manuel Mota,Match Report,
10,Sun,2022-10-23,20:30,Vitória,2.1,3–2,0.8,Boavista,11359,Estádio Dom Afonso Henriques,Fábio Veríssimo,Match Report,
10,Mon,2022-10-24,20:15,Rio Ave,1.0,1–0,1.0,Portimonense,1693,Estádio do Rio Ave Futebol Clube,Bruno Jose Costa,Match Report,
,,,,,,,,,,,,,
11,Fri,2022-10-28,20:15,Paços,0.6,0–1,2.0,Marítimo,3067,Estádio da Capital do Móvel,André Narciso,Match Report,
11,Sat,2022-10-29,14:30 (15:30),Santa Clara,0.4,1–1,2.0,Porto,5692,Estádio de São Miguel,Artur Soares Dias,Match Report,
11,Sat,2022-10-29,18:00,Benfica,3.7,5–0,0.9,Chaves,54990,Estádio do Sport Lisboa e Benfica,Luís Godinho,Match Report,
11,Sat,2022-10-29,20:30,Arouca,0.9,1–0,2.1,Sporting CP,2364,Estádio Municipal de Arouca,Rui Costa,Match Report,
11,Sun,2022-10-30,15:30,Boavista,2.1,2–2,1.2,Vizela,5764,Estádio do Bessa Século XXI,Tiago Martins,Match Report,
11,Sun,2022-10-30,15:30,Portimonense,3.0,1–1,0.8,Estoril,1304,Estádio do Portimonense SC,Gustavo Correia,Match Report,
11,Sun,2022-10-30,18:00,Casa Pia,0.7,1–0,0.5,Rio Ave,2057,Estádio Nacional,Carlos Macedo,Match Report,
11,Sun,2022-10-30,20:30,Gil Vicente FC,0.3,0–1,1.7,Braga,5627,Estádio Cidade de Barcelos,João Pinheiro,Match Report,
11,Mon,2022-10-31,20:15,Vitória,1.0,3–2,1.1,Famalicão,14968,Estádio Dom Afonso Henriques,António Nobre,Match Report,
,,,,,,,,,,,,,
12,Fri,2022-11-04,20:15,Gil Vicente FC,1.1,1–2,2.5,Portimonense,2235,Estádio Cidade de Barcelos,Artur Soares Dias,Match Report,
12,Sat,2022-11-05,15:30,Vizela,1.4,0–1,0.5,Arouca,2722,Estádio Do Vizela,Miguel Nogueira,Match Report,
12,Sat,2022-11-05,18:00,Porto,3.0,4–0,0.2,Paços,41730,Estádio Do Dragão,Manuel Oliveira,Match Report,
12,Sat,2022-11-05,20:30,Sporting CP,2.0,3–0,0.1,Vitória,27324,Estádio José Alvalade,Manuel Mota,Match Report,
12,Sun,2022-11-06,15:30,Rio Ave,1.3,1–0,0.4,Boavista,2546,Estádio do Rio Ave Futebol Clube,Rui Costa,Match Report,
12,Sun,2022-11-06,18:00,Braga,2.6,0–1,1.1,Casa Pia,13004,Estádio Municipal de Braga,Luís Godinho,Match Report,
12,Sun,2022-11-06,18:00,Marítimo,1.0,0–0,1.9,Famalicão,9438,Estádio dos Barreiros,Fábio Veríssimo,Match Report,
12,Sun,2022-11-06,20:30,Estoril,0.9,1–5,3.1,Benfica,4858,Estádio António Coimbra da Mota,Nuno Almeida,Match Report,
12,Mon,2022-11-07,20:15,Chaves,0.7,0–0,0.7,Santa Clara,2224,Estádio Municipal Eng. Manuel Branco Tei...,Bruno Jose Costa,Match Report,
,,,,,,,,,,,,,
13,Sat,2022-11-12,18:00,Arouca,0.6,0–1,2.2,Rio Ave,1210,Estádio Municipal de Arouca,João Pinheiro,Match Report,
13,Sat,2022-11-12,20:30,Boavista,0.3,1–4,2.7,Porto,11335,Estádio do Bessa Século XXI,Luís Godinho,Match Report,
13,Sun,2022-11-13,15:30,Paços,1.3,0–2,2.0,Vizela,5182,Estádio da Capital do Móvel,Nuno Almeida,Match Report,
13,Sun,2022-11-13,15:30,Vitória,0.7,1–0,0.3,Marítimo,14920,Estádio Dom Afonso Henriques,Bastien Dechepy,Match Report,
13,Sun,2022-11-13,18:00,Casa Pia,0.9,1–2,1.6,Chaves,1035,Estádio Nacional,Hélder Carvalho,Match Report,
13,Sun,2022-11-13,18:00,Benfica,2.9,3–1,1.0,Gil Vicente FC,57266,Estádio do Sport Lisboa e Benfica,Manuel Oliveira,Match Report,
13,Sun,2022-11-13,18:00,Portimonense,2.1,1–2,3.2,Braga,1290,Estádio do Portimonense SC,Tiago Martins,Match Report,
13,Sun,2022-11-13,20:30,Famalicão,0.8,1–2,2.8,Sporting CP,3937,Estádio Municipal 22 de Junho,Artur Soares Dias,Match Report,
13,Mon,2022-11-14,19:15 (20:15),Santa Clara,2.3,3–1,0.9,Estoril,747,Estádio de São Miguel,André Narciso,Match Report,
,,,,,,,,,,,,,
14,Wed,2022-12-28,19:00,Portimonense,,,,Casa Pia,,Estádio do Portimonense SC,,Head-to-Head,
14,Wed,2022-12-28,19:00,Rio Ave,,,,Marítimo,,Estádio do Rio Ave Futebol Clube,,Head-to-Head,
14,Wed,2022-12-28,21:15,Porto,,,,Arouca,,Estádio Do Dragão,,Head-to-Head,
14,Thu,2022-12-29,17:00,Gil Vicente FC,,,,Santa Clara,,Estádio Cidade de Barcelos,,Head-to-Head,
14,Thu,2022-12-29,19:00,Estoril,,,,Boavista,,Estádio António Coimbra da Mota,,Head-to-Head,
14,Thu,2022-12-29,21:15,Sporting CP,,,,Paços,,Estádio José Alvalade,,Head-to-Head,
14,Fri,2022-12-30,17:00,Chaves,,,,Famalicão,,Estádio Municipal Eng. Manuel Branco Tei...,,Head-to-Head,
14,Fri,2022-12-30,19:00,Vizela,,,,Vitória,,Estádio Do Vizela,,Head-to-Head,
14,Fri,2022-12-30,21:15,Braga,,,,Benfica,,Estádio Municipal de Braga,,Head-to-Head,
,,,,,,,,,,,,,
15,Thu,2023-01-05,19:15 (20:15),Santa Clara,,,,Braga,,Estádio de São Miguel,,Head-to-Head,
15,Fri,2023-01-06,19:00,Benfica,,,,Portimonense,,Estádio do Sport Lisboa e Benfica,,Head-to-Head,
15,Fri,2023-01-06,21:15,Famalicão,,,,Vizela,,Estádio Municipal 22 de Junho,,Head-to-Head,
15,Sat,2023-01-07,15:30,Arouca,,,,Estoril,,Estádio Municipal de Arouca,,Head-to-Head,
15,Sat,2023-01-07,18:00,Vitória,,,,Rio Ave,,Estádio Dom Afonso Henriques,,Head-to-Head,
15,Sat,2023-01-07,20:30,Casa Pia,,,,Porto,,Estádio Pina Manique,,Head-to-Head,
15,Sun,2023-01-08,15:30,Paços,,,,Chaves,,Estádio da Capital do Móvel,,Head-to-Head,
15,Sun,2023-01-08,18:00,Marítimo,,,,Sporting CP,,Estádio dos Barreiros,,Head-to-Head,
15,Sun,2023-01-08,20:30,Boavista,,,,Gil Vicente FC,,Estádio do Bessa Século XXI,,Head-to-Head,
,,,,,,,,,,,,,
16,Fri,2023-01-13,20:15,Portimonense,,,,Santa Clara,,Estádio do Portimonense SC,,Head-to-Head,
16,Sat,2023-01-14,15:30,Vizela,,,,Marítimo,,Estádio Do Vizela,,Head-to-Head,
16,Sat,2023-01-14,18:00,Rio Ave,,,,Paços,,Estádio do Rio Ave Futebol Clube,,Head-to-Head,
16,Sat,2023-01-14,20:30,Braga,,,,Boavista,,Estádio Municipal de Braga,,Head-to-Head,
16,Sun,2023-01-15,15:30,Chaves,,,,Arouca,,Estádio Municipal Eng. Manuel Branco Tei...,,Head-to-Head,
16,Sun,2023-01-15,18:00,Benfica,,,,Sporting CP,,Estádio do Sport Lisboa e Benfica,,Head-to-Head,
16,Sun,2023-01-15,20:30,Porto,,,,Famalicão,,Estádio Do Dragão,,Head-to-Head,
16,Mon,2023-01-16,19:00,Estoril,,,,Casa Pia,,Estádio António Coimbra da Mota,,Head-to-Head,
16,Mon,2023-01-16,21:15,Gil Vicente FC,,,,Vitória,,Estádio Cidade de Barcelos,,Head-to-Head,
,,,,,,,,,,,,,
17,Sat,2023-01-21,,Santa Clara,,,,Benfica,,,,Head-to-Head,
17,Sat,2023-01-21,,Paços,,,,Braga,,,,Head-to-Head,
17,Sat,2023-01-21,,Marítimo,,,,Estoril,,,,Head-to-Head,
17,Sat,2023-01-21,,Arouca,,,,Portimonense,,,,Head-to-Head,
17,Sat,2023-01-21,,Vitória,,,,Porto,,,,Head-to-Head,
17,Sat,2023-01-21,,Boavista,,,,Chaves,,,,Head-to-Head,
17,Sat,2023-01-21,,Casa Pia,,,,Gil Vicente FC,,,,Head-to-Head,
17,Sat,2023-01-21,,Sporting CP,,,,Vizela,,,,Head-to-Head,
17,Sat,2023-01-21,,Famalicão,,,,Rio Ave,,,,Head-to-Head,
,,,,,,,,,,,,,
18,Sun,2023-01-29,,Marítimo,,,,Porto,,,,Head-to-Head,
18,Sun,2023-01-29,,Vizela,,,,Rio Ave,,,,Head-to-Head,
18,Sun,2023-01-29,,Boavista,,,,Portimonense,,,,Head-to-Head,
18,Sun,2023-01-29,,Arouca,,,,Benfica,,,,Head-to-Head,
18,Sun,2023-01-29,,Paços,,,,Gil Vicente FC,,,,Head-to-Head,
18,Sun,2023-01-29,,Famalicão,,,,Estoril,,,,Head-to-Head,
18,Sun,2023-01-29,,Sporting CP,,,,Braga,,,,Head-to-Head,
18,Sun,2023-01-29,,Vitória,,,,Chaves,,,,Head-to-Head,
18,Sun,2023-01-29,,Casa Pia,,,,Santa Clara,,,,Head-to-Head,
,,,,,,,,,,,,,
19,Sun,2023-02-05,,Rio Ave,,,,Sporting CP,,,,Head-to-Head,
19,Sun,2023-02-05,,Chaves,,,,Marítimo,,,,Head-to-Head,
19,Sun,2023-02-05,,Porto,,,,Vizela,,,,Head-to-Head,
19,Sun,2023-02-05,,Braga,,,,Famalicão,,,,Head-to-Head,
19,Sun,2023-02-05,,Estoril,,,,Vitória,,,,Head-to-Head,
19,Sun,2023-02-05,,Portimonense,,,,Paços,,,,Head-to-Head,
19,Sun,2023-02-05,,Santa Clara,,,,Boavista,,,,Head-to-Head,
19,Sun,2023-02-05,,Benfica,,,,Casa Pia,,,,Head-to-Head,
19,Sun,2023-02-05,,Gil Vicente FC,,,,Arouca,,,,Head-to-Head,
,,,,,,,,,,,,,
20,Sun,2023-02-12,,Boavista,,,,Casa Pia,,,,Head-to-Head,
20,Sun,2023-02-12,,Arouca,,,,Santa Clara,,,,Head-to-Head,
20,Sun,2023-02-12,,Marítimo,,,,Braga,,,,Head-to-Head,
20,Sun,2023-02-12,,Sporting CP,,,,Porto,,,,Head-to-Head,
20,Sun,2023-02-12,,Vizela,,,,Chaves,,,,Head-to-Head,
20,Sun,2023-02-12,,Rio Ave,,,,Estoril,,,,Head-to-Head,
20,Sun,2023-02-12,,Paços,,,,Benfica,,,,Head-to-Head,
20,Sun,2023-02-12,,Vitória,,,,Portimonense,,,,Head-to-Head,
20,Sun,2023-02-12,,Famalicão,,,,Gil Vicente FC,,,,Head-to-Head,
,,,,,,,,,,,,,
21,Sun,2023-02-19,,Braga,,,,Arouca,,,,Head-to-Head,
21,Sun,2023-02-19,,Casa Pia,,,,Vitória,,,,Head-to-Head,
21,Sun,2023-02-19,,Benfica,,,,Boavista,,,,Head-to-Head,
21,Sun,2023-02-19,,Chaves,,,,Sporting CP,,,,Head-to-Head,
21,Sun,2023-02-19,,Porto,,,,Rio Ave,,,,Head-to-Head,
21,Sun,2023-02-19,,Santa Clara,,,,Famalicão,,,,Head-to-Head,
21,Sun,2023-02-19,,Portimonense,,,,Marítimo,,,,Head-to-Head,
21,Sun,2023-02-19,,Estoril,,,,Paços,,,,Head-to-Head,
21,Sun,2023-02-19,,Gil Vicente FC,,,,Vizela,,,,Head-to-Head,
,,,,,,,,,,,,,
22,Sun,2023-02-26,,Famalicão,,,,Portimonense,,,,Head-to-Head,
22,Sun,2023-02-26,,Sporting CP,,,,Estoril,,,,Head-to-Head,
22,Sun,2023-02-26,,Vizela,,,,Benfica,,,,Head-to-Head,
22,Sun,2023-02-26,,Porto,,,,Gil Vicente FC,,,,Head-to-Head,
22,Sun,2023-02-26,,Arouca,,,,Casa Pia,,,,Head-to-Head,
22,Sun,2023-02-26,,Vitória,,,,Braga,,,,Head-to-Head,
22,Sun,2023-02-26,,Rio Ave,,,,Chaves,,,,Head-to-Head,
22,Sun,2023-02-26,,Paços,,,,Boavista,,,,Head-to-Head,
22,Sun,2023-02-26,,Marítimo,,,,Santa Clara,,,,Head-to-Head,
,,,,,,,,,,,,,
23,Sun,2023-03-05,,Estoril,,,,Vizela,,,,Head-to-Head,
23,Sun,2023-03-05,,Braga,,,,Rio Ave,,,,Head-to-Head,
23,Sun,2023-03-05,,Chaves,,,,Porto,,,,Head-to-Head,
23,Sun,2023-03-05,,Benfica,,,,Famalicão,,,,Head-to-Head,
23,Sun,2023-03-05,,Santa Clara,,,,Vitória,,,,Head-to-Head,
23,Sun,2023-03-05,,Boavista,,,,Arouca,,,,Head-to-Head,
23,Sun,2023-03-05,,Casa Pia,,,,Paços,,,,Head-to-Head,
23,Sun,2023-03-05,,Gil Vicente FC,,,,Marítimo,,,,Head-to-Head,
23,Sun,2023-03-05,,Portimonense,,,,Sporting CP,,,,Head-to-Head,
,,,,,,,,,,,,,
24,Sun,2023-03-12,,Sporting CP,,,,Boavista,,,,Head-to-Head,
24,Sun,2023-03-12,,Vitória,,,,Arouca,,,,Head-to-Head,
24,Sun,2023-03-12,,Chaves,,,,Portimonense,,,,Head-to-Head,
24,Sun,2023-03-12,,Vizela,,,,Braga,,,,Head-to-Head,
24,Sun,2023-03-12,,Famalicão,,,,Casa Pia,,,,Head-to-Head,
24,Sun,2023-03-12,,Rio Ave,,,,Gil Vicente FC,,,,Head-to-Head,
24,Sun,2023-03-12,,Marítimo,,,,Benfica,,,,Head-to-Head,
24,Sun,2023-03-12,,Paços,,,,Santa Clara,,,,Head-to-Head,
24,Sun,2023-03-12,,Porto,,,,Estoril,,,,Head-to-Head,
,,,,,,,,,,,,,
25,Sun,2023-03-19,,Braga,,,,Porto,,,,Head-to-Head,
25,Sun,2023-03-19,,Santa Clara,,,,Rio Ave,,,,Head-to-Head,
25,Sun,2023-03-19,,Arouca,,,,Paços,,,,Head-to-Head,
25,Sun,2023-03-19,,Portimonense,,,,Vizela,,,,Head-to-Head,
25,Sun,2023-03-19,,Gil Vicente FC,,,,Sporting CP,,,,Head-to-Head,
25,Sun,2023-03-19,,Boavista,,,,Famalicão,,,,Head-to-Head,
25,Sun,2023-03-19,,Benfica,,,,Vitória,,,,Head-to-Head,
25,Sun,2023-03-19,,Estoril,,,,Chaves,,,,Head-to-Head,
25,Sun,2023-03-19,,Casa Pia,,,,Marítimo,,,,Head-to-Head,
,,,,,,,,,,,,,
26,Sun,2023-04-02,,Marítimo,,,,Boavista,,,,Head-to-Head,
26,Sun,2023-04-02,,Estoril,,,,Gil Vicente FC,,,,Head-to-Head,
