Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,4,Thu,2022-10-13,21:00 (20:00),Ferencváros hu,2.1,2–1,1.7,rs Red Star,20675,Groupama Arena,Daniel Stefański,Match Report,
Group stage,4,Thu,2022-10-13,21:00 (20:00),Lazio it,1.9,2–2,1.3,at Sturm Graz,21059,Stadio Olimpico,Sascha Stegemann,Match Report,
Group stage,4,Thu,2022-10-13,22:00 (20:00),Ludogorets bg,1.4,2–0,0.6,fi HJK,4623,Huvepharma Arena,Kristo Tohver,Match Report,
Group stage,4,Thu,2022-10-13,22:00 (20:00),Trabzonspor tr,0.9,4–0,1.1,fr Monaco,24343,Şenol Güneş Stadyumu,Jakob Kehlet,Match Report,
,,,,,,,,,,,,,,
Group stage,2,Thu,2022-10-20,18:00,Arsenal eng,2.7,1–0,0.3,nl PSV Eindhoven,52200,Arsenal Stadium,Alejandro Hernández,Match Report,
,,,,,,,,,,,,,,
Group stage,5,Thu,2022-10-27,18:45 (17:45),Lazio it,1.3,2–1,0.4,dk Midtjylland,17756,Stadio Olimpico,Daniel Stefański,Match Report,
Group stage,5,Thu,2022-10-27,18:45 (17:45),Union Berlin de,1.5,1–0,0.2,pt Braga,21082,Stadion An der Alten Försterei,Craig Pawson,Match Report,
Group stage,5,Thu,2022-10-27,18:45 (17:45),PSV Eindhoven nl,0.8,2–0,1.4,eng Arsenal,35000,Philips Stadion,Marco Di Bello,Match Report,
Group stage,5,Thu,2022-10-27,18:45 (17:45),Malmö se,0.9,0–2,1.4,be Union SG,10912,Eleda Stadion,Roi Reinshreiber,Match Report,
Group stage,5,Thu,2022-10-27,18:45 (17:45),Zürich ch,2.4,2–1,0.6,no Bodø/Glimt,10168,Stadion Letzigrund,Yevhen Aranovskyi,Match Report,
Group stage,5,Thu,2022-10-27,19:45 (17:45),AÉK Lárnaka cy,0.8,3–3,0.7,ua Dynamo Kyiv,4321,AEK Arena - George Karapatakis,John Beaton,Match Report,
Group stage,5,Thu,2022-10-27,19:45 (17:45),Ludogorets bg,0.9,0–1,0.4,es Betis,9487,Huvepharma Arena,Harald Lechner,Match Report,
Group stage,5,Thu,2022-10-27,19:45 (17:45),Fenerbahçe tr,1.3,3–3,0.9,fr Rennes,34840,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Novak Simović,Match Report,
Group stage,5,Thu,2022-10-27,20:00,Manchester Utd eng,2.7,3–0,0.0,md Sheriff Tiraspol,73764,Old Trafford,Anastasios Sidiropoulos,Match Report,
Group stage,5,Thu,2022-10-27,21:00 (20:00),Red Star rs,1.5,2–1,0.8,tr Trabzonspor,30431,Stadion Rajko Mitić,João Pinheiro,Match Report,
Group stage,5,Thu,2022-10-27,21:00 (20:00),Freiburg de,1.5,1–1,2.1,gr Olympiacos,33000,Schwarzwald-Stadion,Kristo Tohver,Match Report,
Group stage,5,Thu,2022-10-27,21:00 (20:00),Sturm Graz at,0.7,1–0,0.8,nl Feyenoord,13987,Merkur Arena,Espen Andreas Eskås,Match Report,
Group stage,5,Thu,2022-10-27,21:00 (20:00),Ferencváros hu,0.8,1–1,1.1,fr Monaco,20517,Groupama Arena,Enea Jorgji,Match Report,
Group stage,5,Thu,2022-10-27,21:00 (20:00),Nantes fr,1.2,2–1,2.3,az Qarabağ Ağdam,30927,Stade de la Beaujoire - Louis Fonteneau,Jakob Kehlet,Match Report,
Group stage,5,Thu,2022-10-27,22:00 (20:00),AC Omonia cy,0.3,0–2,1.3,es Real Sociedad,11780,Neo GSP,Tamás Bognár,Match Report,
Group stage,5,Thu,2022-10-27,22:00 (20:00),HJK fi,0.5,1–2,1.8,it Roma,9751,Bolt Arena,Tiago Martins,Match Report,
,,,,,,,,,,,,,,
Group stage,6,Thu,2022-11-03,18:45 (17:45),Midtjylland dk,1.2,2–0,0.8,at Sturm Graz,9134,MCH Arena,Matej Jug,Match Report,
Group stage,6,Thu,2022-11-03,18:45 (17:45),Real Sociedad es,1.1,0–1,0.7,eng Manchester Utd,36744,Reale Arena,Georgi Kabakov,Match Report,
Group stage,6,Thu,2022-11-03,18:45 (17:45),Feyenoord nl,1.1,1–0,0.7,it Lazio,43268,Stadion Feijenoord,Irfan Peljto,Match Report,
Group stage,6,Thu,2022-11-03,18:45 (17:45),Monaco fr,1.4,4–1,1.1,rs Red Star,6341,Stade Louis II.,Serdar Gözübüyük,Match Report,
Group stage,6,Thu,2022-11-03,19:45 (17:45),Sheriff Tiraspol md,1.4,1–0,1.4,cy AC Omonia,2295,Stadionul Zimbru,Fran Jović,Match Report,
Group stage,6,Thu,2022-11-03,19:45 (17:45),Olympiacos gr,0.7,0–2,1.1,fr Nantes,16254,Stadio Georgios Karaiskáki,Serhiy Boiko,Match Report,
Group stage,6,Thu,2022-11-03,20:00,Arsenal eng,1.6,1–0,0.4,ch Zürich,48500,Arsenal Stadium,Erik Lambrechts,Match Report,
Group stage,6,Thu,2022-11-03,20:00,Braga pt,1.8,2–1,0.7,se Malmö,11805,Estádio Municipal de Braga,Ruddy Buquet,Match Report,
Group stage,6,Thu,2022-11-03,20:45 (17:45),Trabzonspor tr,1.3,1–0,0.4,hu Ferencváros,22840,Şenol Güneş Stadyumu,Harm Osmers,Match Report,
Group stage,6,Thu,2022-11-03,21:00 (20:00),Dynamo Kyiv ua,0.7,0–2,1.5,tr Fenerbahçe,6304,Stadion Cracovii,Duje Strukan,Match Report,
Group stage,6,Thu,2022-11-03,21:00 (20:00),Rennes fr,1.0,1–1,0.9,cy AÉK Lárnaka,27210,Roazhon Park,Mohammed Al Hakim,Match Report,
Group stage,6,Thu,2022-11-03,21:00 (20:00),Bodø/Glimt no,1.0,1–2,1.6,nl PSV Eindhoven,7985,Aspmyra Stadion,Donatas Rumšas,Match Report,
Group stage,6,Thu,2022-11-03,21:00 (20:00),Roma it,3.2,3–1,0.5,bg Ludogorets,60807,Stadio Olimpico,Nikola Dabanović,Match Report,
Group stage,6,Thu,2022-11-03,21:00 (20:00),Union SG be,0.3,0–1,0.7,de Union Berlin,5597,King Power at Den Dreef Stadion,Andris Treimanis,Match Report,
Group stage,6,Thu,2022-11-03,21:00 (20:00),Betis es,2.8,3–0,0.6,fi HJK,35384,Estadio Benito Villamarín,William Collum,Match Report,
Group stage,6,Thu,2022-11-03,21:45 (17:45),Qarabağ Ağdam az,1.0,1–1,1.1,de Freiburg,30430,Tofiq Bəhramov adına Respublika stadionu,Alekseiy Kovalev,Match Report,
,,,,,,,,,,,,,,
Knockout round play-offs,,Thu,2023-02-16,18:45 (17:45),Ajax nl,,,,de Union Berlin,,,,Head-to-Head,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,18:45 (17:45),Barcelona es,,,,eng Manchester Utd,,,,Head-to-Head,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,18:45 (17:45),RB Salzburg at,,,,it Roma,,,,Head-to-Head,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,19:45 (17:45),Shakhtar ua,,,,fr Rennes,,,,Head-to-Head,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,20:00,Sporting CP pt,,,,dk Midtjylland,,,,Head-to-Head,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,21:00 (20:00),Juventus it,,,,fr Nantes,,,,Head-to-Head,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,21:00 (20:00),Leverkusen de,,,,fr Monaco,,,,Head-to-Head,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-16,21:00 (20:00),Sevilla es,,,,nl PSV Eindhoven,,,,Head-to-Head,Leg 1 of 2
Knockout round play-offs,,,,,Monaco fr,,,,de Leverkusen,,,,Head-to-Head,Leg 1 of 2
Knockout round play-offs,,Thu,2023-02-23,18:45 (17:45),Midtjylland dk,,,,pt Sporting CP,,,,Head-to-Head,Leg 2 of 2
Knockout round play-offs,,Thu,2023-02-23,18:45 (17:45),PSV Eindhoven nl,,,,es Sevilla,,,,Head-to-Head,Leg 2 of 2
Knockout round play-offs,,Thu,2023-02-23,18:45 (17:45),Nantes fr,,,,it Juventus,,,,Head-to-Head,Leg 2 of 2
Knockout round play-offs,,Thu,2023-02-23,20:00,Manchester Utd eng,,,,es Barcelona,,,,Head-to-Head,Leg 2 of 2
Knockout round play-offs,,Thu,2023-02-23,21:00 (20:00),Roma it,,,,at RB Salzburg,,,,Head-to-Head,Leg 2 of 2
Knockout round play-offs,,Thu,2023-02-23,21:00 (20:00),Rennes fr,,,,ua Shakhtar,,,,Head-to-Head,Leg 2 of 2
Knockout round play-offs,,Thu,2023-02-23,21:00 (20:00),Union Berlin de,,,,nl Ajax,,,,Head-to-Head,Leg 2 of 2
